GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Animalerie,fr.ufrsciencestech.animalerie.bd,BaseDeDonnee,494,740,52,34,165,259,43,30,6,22
Animalerie,fr.ufrsciencestech.animalerie,Reservation.StatutReservation,0,15,0,0,0,3,0,1,0,1
Animalerie,fr.ufrsciencestech.animalerie,Toilettage,9,43,0,0,4,12,1,7,1,7
Animalerie,fr.ufrsciencestech.animalerie,EducationCanine,9,42,0,0,4,12,1,7,1,7
Animalerie,fr.ufrsciencestech.animalerie,Accessoire,0,52,0,0,0,13,0,7,0,7
Animalerie,fr.ufrsciencestech.animalerie,ProduitPhamacetique,0,52,0,0,0,13,0,7,0,7
Animalerie,fr.ufrsciencestech.animalerie,User,64,406,16,38,14,84,15,39,3,24
Animalerie,fr.ufrsciencestech.animalerie,Garde,0,51,0,0,0,16,0,8,0,8
Animalerie,fr.ufrsciencestech.animalerie,Toilettage.TypeDeToilettage,0,33,0,0,0,6,0,1,0,1
Animalerie,fr.ufrsciencestech.animalerie,Reservation,25,143,7,11,4,32,8,15,1,13
Animalerie,fr.ufrsciencestech.animalerie,Promenade,0,51,0,0,0,16,0,8,0,8
Animalerie,fr.ufrsciencestech.animalerie,Commande,2,218,3,17,1,40,3,21,0,14
Animalerie,fr.ufrsciencestech.animalerie,Animal,0,70,0,0,0,19,0,10,0,10
Animalerie,fr.ufrsciencestech.animalerie,Commande.StatutCommande,0,15,0,0,0,3,0,1,0,1
Animalerie,fr.ufrsciencestech.animalerie.view,ReservationView.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,ReservationView.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,ReservationView.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,ReservationView.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,UserInscription,508,0,0,0,110,0,11,0,11,0
Animalerie,fr.ufrsciencestech.animalerie.view,ReservationView,94,1447,4,0,24,261,12,3,10,3
Animalerie,fr.ufrsciencestech.animalerie.view,ProduitView.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,ProduitView,36,629,0,0,12,107,7,3,7,3
Animalerie,fr.ufrsciencestech.animalerie.view,UserConnect,402,0,0,0,91,0,9,0,9,0
Animalerie,fr.ufrsciencestech.animalerie.view,View,4,1270,0,0,2,256,1,9,1,9
Animalerie,fr.ufrsciencestech.animalerie.view,ProduitView.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,View.new ListCellRenderer() {...},45,6,2,0,12,1,2,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.view,AjoutAnimalView,18,395,0,0,6,81,5,3,5,3
Animalerie,fr.ufrsciencestech.animalerie.main,Animalerie,54,33,5,1,15,12,4,3,1,3
Animalerie,fr.ufrsciencestech.animalerie.controleur,Controleur,1,9,0,0,1,4,1,1,1,1
Animalerie,fr.ufrsciencestech.animalerie.controleur,ControleurProduit,52,243,8,10,7,45,7,7,0,5
Animalerie,fr.ufrsciencestech.animalerie.controleur,ControleurAnimal,13,137,1,3,1,33,1,6,0,5
Animalerie,fr.ufrsciencestech.animalerie.controleur,ControleurReservation,167,272,27,15,39,61,25,8,1,6
Animalerie,fr.ufrsciencestech.animalerie.controleur,ControleurConnexion,47,356,5,15,12,78,8,8,3,3
Animalerie,fr.ufrsciencestech.animalerie.controleur,ControleurMenu,467,106,45,7,82,28,25,5,2,2
